category,group,name,sci_name,url
plant,aquatics,waterwheel plant,aldrovanda vesiculosa,https://www.invasive.org/browse/subinfo.cfm?sub=77104
plant,aquatics,alligatorweed,alternanthera philoxeroides,https://www.invasive.org/browse/subinfo.cfm?sub=2779
plant,aquatics,sessile joyweed,alternanthera sessilis,https://www.invasive.org/browse/subinfo.cfm?sub=4544
plant,aquatics,feathered mosquito-fern,azolla pinnata,https://www.invasive.org/browse/subinfo.cfm?sub=4647
plant,aquatics,flowering-rush,butomus umbellatus,https://www.invasive.org/browse/subinfo.cfm?sub=5219
plant,aquatics,carolina fanwort,cabomba caroliniana,https://www.invasive.org/browse/subinfo.cfm?sub=5223
plant,aquatics,european waterstarwort,callitriche stagnalis,https://www.invasive.org/browse/subinfo.cfm?sub=11538
plant,aquatics,mediterranean clone of caulerpa,caulerpa taxifolia,https://www.invasive.org/browse/subinfo.cfm?sub=4715
plant,aquatics,coontail,ceratophyllum demersum,https://www.invasive.org/browse/subinfo.cfm?sub=17719
plant,aquatics,watersprite,ceratopteris thalictroides,https://www.invasive.org/browse/subinfo.cfm?sub=18423
plant,aquatics,rock snot,didymosphenia geminata,https://www.invasive.org/browse/subinfo.cfm?sub=15309
plant,aquatics,brazilian waterweed,egeria densa,https://www.invasive.org/browse/subinfo.cfm?sub=3019
plant,aquatics,anchored waterhyacinth,eichhornia azurea,https://www.invasive.org/browse/subinfo.cfm?sub=4677
plant,aquatics,common water hyacinth,eichhornia crassipes,https://www.invasive.org/browse/subinfo.cfm?sub=3020
plant,aquatics,water hyacinth,eichhornia spp.,https://www.invasive.org/browse/subinfo.cfm?sub=53696
plant,aquatics,hydrilla,hydrilla verticillata,https://www.invasive.org/browse/subinfo.cfm?sub=3028
plant,aquatics,european frog-bit,hydrocharis morsus-ranae,https://www.invasive.org/browse/subinfo.cfm?sub=12792
plant,aquatics,waterpoppy,hydrocleys nymphoides,https://www.invasive.org/browse/subinfo.cfm?sub=14226
plant,aquatics,yellow iris,iris pseudacorus,https://www.invasive.org/browse/subinfo.cfm?sub=5853
plant,aquatics,oxygen weed,lagarosiphon major,https://www.invasive.org/browse/subinfo.cfm?sub=4653
plant,aquatics,common duckweed,lemna minor,https://www.invasive.org/browse/subinfo.cfm?sub=14086
plant,aquatics,american frogbit,limnobium spongia,https://www.invasive.org/browse/subinfo.cfm?sub=12814
plant,aquatics,purple loosestrife,lythrum salicaria,https://www.invasive.org/browse/subinfo.cfm?sub=3047
plant,aquatics,european water-clover,marsilea quadrifolia,https://www.invasive.org/browse/subinfo.cfm?sub=12798
plant,aquatics,giant chickweed,myosoton aquaticum,https://www.invasive.org/browse/subinfo.cfm?sub=11567
plant,aquatics,parrotfeather,myriophyllum aquaticum,https://www.invasive.org/browse/subinfo.cfm?sub=3054
plant,aquatics,twoleaf watermilfoil,myriophyllum heterophyllum,https://www.invasive.org/browse/subinfo.cfm?sub=12803
plant,aquatics,eurasian water-milfoil,myriophyllum spicatum,https://www.invasive.org/browse/subinfo.cfm?sub=3055
plant,aquatics,brittleleaf naiad,najas minor,https://www.invasive.org/browse/subinfo.cfm?sub=3056
plant,aquatics,watercress,nasturtium officinale,https://www.invasive.org/browse/subinfo.cfm?sub=14217
plant,aquatics,starry stonewort,nitellopsis obtusa,https://www.invasive.org/browse/subinfo.cfm?sub=74386
plant,aquatics,fragrant waterlily,nymphaea odorata,https://www.invasive.org/browse/subinfo.cfm?sub=12725
plant,aquatics,crested floating heart,nymphoides cristata,https://www.invasive.org/browse/subinfo.cfm?sub=11616
plant,aquatics,water snowflake,nymphoides indica,https://www.invasive.org/browse/subinfo.cfm?sub=22984
