rosarypea	Abrus precatorius L.	35	Vines
hairy Indian mallow	Abutilon grandifolium (Willd.) Sweet	4	Shrub or Subshrub
velvetleaf	Abutilon theophrasti Medik	1248	Forbs/Herbs
earleaf acacia	Acacia auriculiformis A. Cunningham ex Benth.	16	Shrub or Subshrub
small Philippine acacia	Acacia confusa Merr	4	Hardwood Trees
silver wattle	Acacia dealbata Link	28	Shrub or Subshrub
Sydney golden wattle	Acacia longifolia (Andr.) Willd.	14	Hardwood Trees
black wattle	Acacia mearnsii de Wildeman.	11	Hardwood Trees
black acacia	Acacia melanoxylon R. Br. ex Ait. f.	19	Hardwood Trees
everblooming acacia	Acacia retinodes Schlecht.	10	Hardwood Trees
bear's breech	Acanthus mollis L.	1	Forbs/Herbs
hedge maple	Acer campestre L.	32	Hardwood Trees
Amur maple	Acer ginnala Maxim.	148	Hardwood Trees
Japanese maple	Acer palmatum Thunb.	44	Hardwood Trees
Norway maple	Acer platanoides L.	453	Hardwood Trees
Sycamore maple	Acer pseudoplatanus L.	90	Hardwood Trees
Japanese chaff flower	Achyranthes japonica (Miq.) Nakai	126	Forbs/Herbs
Japanese chaff flower	Achyranthes japonica var. hachijoensis Honda	0	Forbs/Herbs
red beadtree	Adenanthera pavonina L	4	Hardwood Trees
rough maidenhair fern	Adiantum hispidulum Sw.	6	Forbs/Herbs
delta maidenhair	Adiantum raddianum K. Presl	4	Forbs/Herbs
jointed goatgrass	Aegilops cylindrica Host	547	Grass or Grasslike
barb goatgrass	Aegilops triuncialis L	36	Grass or Grasslike
goutweed	Aegopodium podagraria L.	279	Forbs/Herbs
Ohio buckeye	Aesculus glabra Willd.	0	Hardwood Trees
common horse chestnut	Aesculus hippocastanum L.	127	Hardwood Trees
sisal	Agave sisalana Perrine	21	Forbs/Herbs
croftonweed	Ageratina adenophora (Spreng.) King & H.E. Robins.	13	Forbs/Herbs
creeping croftonweed	Ageratina riparia (Regel) King & H.E. Robins.	4	Shrub or Subshrub
tropic ageratum	Ageratum conyzoides L.	19	Forbs/Herbs
Pacific bentgrass	Agrostis avenacea J.F. Gmel.	33	Grass or Grasslike
colonial bentgrass	Agrostis capillaris L.	368	Grass or Grasslike
redtop	Agrostis gigantea Roth	1498	Grass or Grasslike
