ID;Longitude;Latitude;LandArea;PropLandArea;Biome;Realm;Country;SpeciesRichness_Expert;RecordDensity;SpeciesRichness_Records;InventoryCompleteness;NSpecies_Missed;EndemismRichness;Mountains;ProtectedAreas;OnGroundAccessibility;ProximityToAirports;ProximityToInstitutions;GlobalPeaceIndex;ScientificActivities;GBIF_Participation;ResearchFunding_National;ResearchFunding_Institutions;PublisherSize;UsedInModels
92;-88,5;79,11166;7672651375;0,33;Tundra;Nearctic;Canada;21;0;0;0;21;0,014879874;1614;0;8323,29;393,3788534;NA;1,3845;92,05453125;1;634,691322;NA;NA;0
93;-87,5;79,11166;8723321418;0,49;Tundra;Nearctic;Canada;21;30,95151343;9;42,85714286;12;0,014879874;1223;0;8078,19;383,6612507;89339,98851;1,3845;92,05453125;1;634,691322;889,2340829;46999635,63;1
94;-86,5;79,11166;9237239919;0,48;NA;NA;Canada;21;83,35823327;14;66,66666667;7;0,014879874;1539;0;8057,33;375,2402382;88998,21567;1,3845;92,05453125;1;634,691322;673,7404955;7268081,091;0
95;-85,5;79,11166;9440831319;0,46;Tundra;Nearctic;Canada;21;138,7589668;18;85,71428571;3;0,014879874;1693;0;8246,35;368,2419393;88653,24864;1,3845;92,05453125;1;634,691322;975,0198884;62334087,98;1
96;-84,5;79,11166;10374110673;0,51;Tundra;Nearctic;Canada;21;18,31482293;12;57,14285714;9;0,014879874;1601;0;8238,83;360,1149535;88305,13865;1,3845;92,05453125;1;634,691322;897,1885442;45926961,11;1
97;-83,5;79,11166;10567676297;0,6;Tundra;Nearctic;Canada;20;2,838845471;1;5;19;0,014505342;1805;0;7905,47;351,1482136;87953,93831;1,3845;92,05453125;1;634,691322;634,691322;114905;1
98;-82,5;79,11166;10926649074;0,58;NA;NA;Canada;21;0;0;0;21;0,014861595;1553;0;8051,15;343,3715888;NA;1,3845;92,05453125;1;634,691322;NA;NA;0
99;-81,5;79,11166;11124198482;0,46;NA;NA;Canada;21;0;0;0;21;0,014861595;1807;0;8166,2;336,6752499;NA;1,3845;92,05453125;1;634,691322;NA;NA;0
191;10,5;79,11166;390188953,3;0,01;Tundra;Palaearctic;Svalbard and Jan Mayen;14;1563,34513;6;42,85714286;8;0,039160337;927;1;1418,88;320,3811686;56682,82234;NA;2;0;NA;767,1637789;7306605,426;0
192;11,5;79,11166;1980716356;0,03;Tundra;Palaearctic;Svalbard and Jan Mayen;15;1257,120936;9;60;6;0,039416813;999;0,859542511;1568,01;314,6797662;56621,09422;NA;2;0;NA;764,1916293;6586718,687;0
193;12,5;79,11166;2881440163;0,01;Tundra;Palaearctic;Svalbard and Jan Mayen;15;378,2830592;11;73,33333333;4;0,039416813;1282;0,511882092;1836,07;313,310953;56570,79748;NA;2;0;NA;763,8167981;6495930,541;0
194;13,5;79,11166;3643406408;0,07;Tundra;Palaearctic;Svalbard and Jan Mayen;15;436,4047877;10;66,66666667;5;0,039416813;1349;0,420292524;1943,09;315,9348603;56532,00897;NA;2;0;NA;756,3142084;4678722,302;0
195;14,5;79,11166;4626946382;0,12;Tundra;Palaearctic;Svalbard and Jan Mayen;15;590,0219658;12;80;3;0,039416813;1299;0,450374903;1856,66;320,8687989;56504,7937;NA;2;0;NA;749,8104454;3103440,681;0
196;15,5;79,11166;5158738191;0,16;Tundra;Palaearctic;Svalbard and Jan Mayen;15;5369,530101;14;93,33333333;1;0,039416813;1301;0,592908378;1993,88;327,8507361;56489,20447;NA;2;0;NA;753,5891661;3716071,738;0
197;16,5;79,11166;7635850460;0,11;Tundra;Palaearctic;Svalbard and Jan Mayen;15;2014,182975;12;80;3;0,039416813;1599;0,415162846;2208,38;336,883598;56485,28164;NA;2;0;NA;749,210768;2906793,434;0
198;17,5;79,11166;6434451490;0,03;Tundra;Palaearctic;Svalbard and Jan Mayen;14;17,09547429;7;50;7;0,039160337;1601;0,383996051;2214,69;347,8735221;56493,05281;NA;2;0;NA;1006,429438;65259331,45;0
199;18,5;79,11166;4814203498;0,01;Tundra;Palaearctic;Svalbard and Jan Mayen;14;24,9262417;6;42,85714286;8;0,039160337;1116;0,350081532;2122,38;360,6017405;56512,53266;NA;2;0;NA;931,7674973;47175403,25;0
200;19,5;79,11166;2860876478;0,00134;Tundra;Palaearctic;Svalbard and Jan Mayen;14;10,48629685;2;14,28571429;12;0,039160337;679;0,636680404;2136,54;374,7910907;56543,7228;NA;2;0;NA;746,31687;2257259;0
201;20,5;79,11166;2940302196;0,02;Tundra;Palaearctic;Svalbard and Jan Mayen;14;40,81213155;8;57,14285714;6;0,039160337;639;0,892772747;2256,52;390,1692216;56586,61158;NA;2;0;NA;1064,232231;79259792;0
202;21,5;79,11166;4379494153;0,06;Tundra;Palaearctic;Svalbard and Jan Mayen;14;0;0;0;14;0,039160337;654;0,994858422;2259,49;406,5006808;NA;NA;2;0;NA;NA;NA;0
203;22,5;79,11166;4024072100;0,06;Tundra;Palaearctic;Svalbard and Jan Mayen;14;74,55134812;2;14,28571429;12;0,039160337;635;1;2208,16;423,595251;56707,37227;NA;2;0;NA;742,5960184;2185847,2;0
